------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-23-17 09:40
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-22-17 15:46, 2741, 622
02-22-17 15:47, 2642, 557
02-22-17 15:48, 2941, 709
02-22-17 15:49, 3156, 815
02-22-17 15:50, 2829, 661
02-22-17 15:51, 2696, 584
02-22-17 15:52, 2741, 616
02-22-17 15:53, 2966, 715
02-22-17 15:54, 2756, 636
02-22-17 15:55, 2924, 701
02-22-17 15:56, 3407, 929
02-22-17 15:57, 4096, 1254
02-22-17 15:58, 4032, 1158
02-22-17 15:59, 4019, 1151
02-22-17 16:00, 3361, 817
02-22-17 16:01, 3874, 1027
02-22-17 16:02, 3820, 1044
02-22-17 16:03, 6284, 2205
02-22-17 16:04, 5495, 1792
02-22-17 16:05, 5549, 1901
02-22-17 16:06, 5659, 1925
02-22-17 16:07, 6023, 2010
02-22-17 16:08, 5499, 1773
02-22-17 16:09, 5326, 1718
02-22-17 16:10, 4951, 1553
02-22-17 16:11, 4807, 1466
02-22-17 16:12, 4330, 1194
02-22-17 16:13, 4264, 1172
02-22-17 16:14, 3910, 1044
02-22-17 16:15, 3993, 1055
02-22-17 16:16, 3774, 961
02-22-17 16:17, 3702, 952
02-22-17 16:18, 3788, 978
02-22-17 16:19, 3556, 905
02-22-17 16:20, 3394, 787
02-22-17 16:21, 3056, 654
02-22-17 16:22, 3026, 658
02-22-17 16:23, 3075, 700
02-22-17 16:24, 3011, 699
02-22-17 16:25, 2883, 601
02-22-17 16:26, 2896, 621
02-22-17 16:27, 2891, 620
02-22-17 16:28, 2775, 560
02-22-17 16:29, 2642, 523
02-22-17 16:30, 2507, 466
02-22-17 16:31, 2459, 462
02-22-17 16:32, 2405, 425
02-22-17 16:33, 2433, 377
02-22-17 16:34, 2325, 378
02-22-17 16:35, 2350, 355
02-22-17 16:36, 2398, 413
02-22-17 16:37, 2336, 384
02-22-17 16:38, 2314, 361
02-22-17 16:39, 2329, 390
02-22-17 16:40, 2270, 366
02-22-17 16:41, 2290, 351
02-22-17 16:42, 2242, 356
02-22-17 16:43, 2380, 399
02-22-17 16:44, 2394, 309
02-22-17 16:45, 2443, 401
02-22-17 16:46, 2579, 441
02-22-17 16:47, 2848, 523
02-22-17 16:48, 2874, 557
02-22-17 16:49, 2928, 556
02-22-17 16:50, 4314, 1250
02-22-17 16:51, 3365, 803
02-22-17 16:52, 4266, 1208
02-22-17 16:53, 4245, 1215
02-22-17 16:54, 4132, 1118
02-22-17 16:55, 3849, 956
02-22-17 16:56, 3620, 885
02-22-17 16:57, 3592, 889
