------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-03-17 10:07
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-01-17 15:07, 5170, 547
02-01-17 15:08, 5112, 548
02-01-17 15:09, 5094, 514
02-01-17 15:10, 5179, 530
02-01-17 15:11, 5098, 536
02-01-17 15:12, 5215, 540
02-01-17 15:13, 5191, 513
02-01-17 15:14, 5225, 502
02-01-17 15:15, 5195, 516
02-01-17 15:16, 5057, 516
02-01-17 15:17, 5051, 497
02-01-17 15:18, 5220, 503
02-01-17 15:19, 5120, 511
02-01-17 15:20, 5146, 501
02-01-17 15:21, 5261, 504
02-01-17 15:22, 5171, 479
02-01-17 15:23, 5080, 495
02-01-17 15:24, 5191, 493
02-01-17 15:25, 5131, 472
02-01-17 15:26, 5030, 469
02-01-17 15:27, 5122, 458
02-01-17 15:28, 5135, 465
02-01-17 15:29, 5160, 426
02-01-17 15:30, 5048, 417
02-01-17 15:31, 5044, 424
02-01-17 15:32, 5117, 473
02-01-17 15:33, 5019, 420
02-01-17 15:34, 5068, 428
02-01-17 15:35, 5113, 434
02-01-17 15:36, 5053, 442
02-01-17 15:37, 5122, 453
02-01-17 15:38, 5245, 512
02-01-17 15:39, 5062, 446
02-01-17 15:40, 5051, 431
02-01-17 15:41, 5058, 423
02-01-17 15:42, 5073, 452
02-01-17 15:43, 5167, 476
02-01-17 15:44, 5051, 457
02-01-17 15:45, 5069, 460
02-01-17 15:46, 4889, 445
02-01-17 15:47, 5130, 541
02-01-17 15:48, 4995, 504
02-01-17 15:49, 5129, 516
02-01-17 15:50, 5055, 513
02-01-17 15:51, 5624, 726
02-01-17 15:52, 6353, 918
02-01-17 15:53, 7808, 1397
02-01-17 15:54, 8620, 1666
02-01-17 15:55, 8524, 1604
02-01-17 15:56, 8192, 1509
02-01-17 15:57, 7933, 1392
02-01-17 15:58, 7598, 1324
02-01-17 15:59, 7472, 1276
02-01-17 16:00, 7261, 1191
02-01-17 16:01, 7298, 1278
02-01-17 16:02, 7320, 1222
02-01-17 16:03, 7336, 1231
02-01-17 16:04, 7705, 1377
02-01-17 16:05, 7393, 1259
02-01-17 16:06, 7716, 1400
02-01-17 16:07, 7610, 1359
02-01-17 16:08, 7497, 1390
02-01-17 16:09, 7523, 1396
02-01-17 16:10, 7397, 1346
02-01-17 16:11, 7291, 1326
02-01-17 16:12, 7322, 1347
02-01-17 16:13, 7493, 1362
02-01-17 16:14, 7247, 1290
02-01-17 16:15, 6997, 1180
02-01-17 16:16, 6854, 1131
02-01-17 16:17, 6811, 1098
02-01-17 16:18, 6793, 1072
02-01-17 16:19, 6623, 973
02-01-17 16:20, 6600, 940
02-01-17 16:21, 6618, 977
02-01-17 16:22, 6592, 937
02-01-17 16:23, 6492, 881
02-01-17 16:24, 6446, 860
02-01-17 16:25, 6404, 870
02-01-17 16:26, 6272, 793
02-01-17 16:27, 6371, 842
02-01-17 16:28, 6507, 850
02-01-17 16:29, 6352, 790
02-01-17 16:30, 6436, 822
02-01-17 16:31, 6300, 787
02-01-17 16:32, 6101, 728
02-01-17 16:33, 6203, 721
02-01-17 16:34, 6085, 690
02-01-17 16:35, 6031, 662
02-01-17 16:36, 5918, 650
02-01-17 16:37, 5942, 674
02-01-17 16:38, 5793, 585
02-01-17 16:39, 5731, 574
02-01-17 16:40, 5659, 539
02-01-17 16:41, 5652, 555
02-01-17 16:42, 5690, 564
02-01-17 16:43, 5608, 546
02-01-17 16:44, 5668, 562
02-01-17 16:45, 5389, 453
02-01-17 16:46, 5499, 525
02-01-17 16:47, 5284, 426
02-01-17 16:48, 5374, 463
02-01-17 16:49, 5741, 563
02-01-17 16:50, 5649, 529
02-01-17 16:51, 5715, 546
02-01-17 16:52, 5797, 556
02-01-17 16:53, 5672, 523
02-01-17 16:54, 5683, 559
02-01-17 16:55, 5696, 546
02-01-17 16:56, 5656, 534
02-03-17 10:18, 12122, 2633
02-03-17 10:19, 9586, 786
02-03-17 10:20, 9196, 382
02-03-17 10:21, 9718, 249
02-03-17 10:22, 10897, 1016
02-03-17 10:23, 11067, 754
02-03-17 10:24, 10609, 583
02-03-17 10:25, 9510, 284
02-03-17 10:26, 8160, 107
02-03-17 10:27, 8316, 265
