------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1100
Date/Time: 02-21-17 09:46
------------------------------
Particles per cubic foot / 100
------------------------------
Small, Large
02-20-17 16:04, 5464, 858
02-20-17 16:05, 5422, 864
02-20-17 16:06, 5433, 825
02-20-17 16:07, 5377, 804
02-20-17 16:08, 5313, 811
02-20-17 16:09, 5356, 821
02-20-17 16:10, 5257, 787
02-20-17 16:11, 5220, 777
02-20-17 16:12, 5187, 757
02-20-17 16:13, 5185, 775
02-20-17 16:14, 5176, 749
02-20-17 16:15, 5184, 739
02-20-17 16:16, 5065, 707
02-20-17 16:17, 5095, 739
02-20-17 16:18, 5113, 738
02-20-17 16:19, 5065, 697
02-20-17 16:20, 5103, 732
02-20-17 16:21, 5003, 734
02-20-17 16:22, 5015, 707
02-20-17 16:23, 5087, 719
02-20-17 16:24, 5091, 753
02-20-17 16:25, 5044, 725
02-20-17 16:26, 5120, 758
02-20-17 16:27, 5227, 759
02-20-17 16:28, 5159, 766
02-20-17 16:29, 5155, 755
02-20-17 16:30, 5021, 733
02-20-17 16:31, 5097, 744
02-20-17 16:32, 5123, 761
02-20-17 16:33, 5133, 745
02-20-17 16:34, 5058, 731
02-20-17 16:35, 5034, 743
02-20-17 16:36, 5017, 716
02-20-17 16:37, 5056, 705
02-20-17 16:38, 5038, 751
02-20-17 16:39, 5072, 752
02-20-17 16:40, 5026, 732
02-20-17 16:41, 5077, 731
02-20-17 16:42, 5027, 759
02-20-17 16:43, 5085, 777
02-20-17 16:44, 5046, 784
02-20-17 16:45, 5058, 780
02-20-17 16:46, 5220, 794
02-20-17 16:47, 5346, 883
02-20-17 16:48, 5227, 849
02-20-17 16:49, 5340, 901
02-20-17 16:50, 5328, 891
02-20-17 16:51, 5300, 863
02-20-17 16:52, 5292, 857
02-20-17 16:53, 5334, 856
02-20-17 16:54, 5245, 831
02-20-17 16:55, 5198, 817
02-20-17 16:56, 5269, 822
02-20-17 16:57, 5267, 816
02-20-17 16:58, 5199, 860
02-20-17 16:59, 5259, 821
02-20-17 17:00, 5251, 789
02-20-17 17:01, 5255, 819
02-20-17 17:02, 5250, 814
02-20-17 17:03, 5332, 852
02-20-17 17:04, 5463, 931
02-20-17 17:05, 5558, 943
02-20-17 17:06, 5638, 988
